id,hrs1,prestg80,sphrs1,educ,paeduc,sex,happy,hapmar,health,happy7,satfam7
933,27,20,40,11,,FEMALE,,,FAIR,Neither happy nor unhappy,Very satisfied
934,48,38,40,14,12,FEMALE,PRETTY HAPPY,PRETTY HAPPY,,,
935,45,64,40,20,16,FEMALE,,,GOOD,Fairly happy,Fairly satisfied
936,40,47,,12,6,MALE,,,,Very happy,Very satisfied
937,40,41,,12,11,FEMALE,NOT TOO HAPPY,,EXCELLENT,,
938,,28,,13,3,FEMALE,,,FAIR,Neither happy nor unhappy,Neither satisfied nor dissatisfied
939,50,46,,14,16,FEMALE,,,,Fairly happy,Very satisfied
940,,29,85,15,,FEMALE,,,,Very happy,Very satisfied
941,,43,,14,,MALE,PRETTY HAPPY,,GOOD,,
942,,31,,6,5,FEMALE,PRETTY HAPPY,,FAIR,,
943,,31,,5,,MALE,PRETTY HAPPY,,,,
944,42,47,,12,8,MALE,PRETTY HAPPY,,GOOD,,
945,37,23,,12,5,FEMALE,,,,Completely happy,Completely satisfied
946,41,54,,12,2,FEMALE,,,EXCELLENT,Very happy,Fairly satisfied
947,28,31,,12,12,MALE,PRETTY HAPPY,,GOOD,,
948,,,,12,,FEMALE,NOT TOO HAPPY,,,,
949,,,,6,1,FEMALE,NOT TOO HAPPY,,GOOD,,
950,,29,,12,12,FEMALE,,,FAIR,Neither happy nor unhappy,Fairly satisfied
951,,51,,20,,MALE,,,,Neither happy nor unhappy,Neither satisfied nor dissatisfied
952,50,28,,15,,FEMALE,,,EXCELLENT,Very happy,Very satisfied
953,35,65,,12,3,FEMALE,PRETTY HAPPY,,GOOD,,
954,60,64,40,15,12,FEMALE,VERY HAPPY,VERY HAPPY,GOOD,,
955,86,60,40,14,20,MALE,,,,Very happy,Very satisfied
956,50,51,,14,8,FEMALE,PRETTY HAPPY,VERY HAPPY,,,
957,,43,,18,,MALE,PRETTY HAPPY,VERY HAPPY,EXCELLENT,,
958,40,44,10,18,6,MALE,,,,Very happy,Very satisfied
959,,73,,17,10,MALE,,,FAIR,Fairly happy,Fairly satisfied
960,52,51,,12,,MALE,PRETTY HAPPY,NOT TOO HAPPY,GOOD,,
961,45,74,,14,14,MALE,,,,Very happy,Fairly satisfied
962,43,74,,14,16,MALE,PRETTY HAPPY,,GOOD,,
963,40,39,,14,12,FEMALE,VERY HAPPY,,,,
964,,41,,14,,FEMALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
965,50,57,,13,16,MALE,PRETTY HAPPY,,GOOD,,
966,42,61,,16,9,FEMALE,,,EXCELLENT,Very happy,Very satisfied
967,,30,47,18,16,MALE,,,,Fairly happy,Fairly satisfied
968,30,22,,12,12,FEMALE,PRETTY HAPPY,,,,
969,10,32,40,13,12,FEMALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
970,40,31,20,10,10,MALE,,,FAIR,Neither happy nor unhappy,Very satisfied
971,49,42,10,12,12,MALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
972,37,31,,12,10,FEMALE,PRETTY HAPPY,,,,
973,37,31,,12,12,FEMALE,,,EXCELLENT,Fairly happy,Fairly satisfied
974,45,47,,17,12,MALE,,,,Neither happy nor unhappy,Neither satisfied nor dissatisfied
975,40,49,,14,16,FEMALE,,,GOOD,Fairly unhappy,Fairly dissatisfied
976,,37,,12,8,MALE,NOT TOO HAPPY,,FAIR,,
977,32,27,,12,12,MALE,PRETTY HAPPY,,FAIR,,
978,40,35,,12,,MALE,,,,Very happy,Very satisfied
979,,64,,16,14,FEMALE,,,GOOD,Very happy,Very satisfied
980,,35,,12,10,MALE,VERY HAPPY,VERY HAPPY,GOOD,,
981,37,57,,12,,FEMALE,VERY HAPPY,,,,
982,40,31,,13,12,MALE,,,GOOD,Completely happy,Completely satisfied
983,39,43,,13,12,FEMALE,,,GOOD,Very happy,Completely satisfied
984,30,47,40,12,,FEMALE,,,EXCELLENT,Very happy,Very satisfied
985,40,50,,15,10,MALE,,,,,
986,,35,,12,12,FEMALE,,,FAIR,,
987,,51,,14,13,MALE,PRETTY HAPPY,VERY HAPPY,,,
988,30,31,40,12,8,FEMALE,,,GOOD,Fairly happy,Fairly satisfied
989,,22,,12,20,MALE,PRETTY HAPPY,,GOOD,,
990,40,47,,12,13,FEMALE,VERY HAPPY,,,,
991,16,43,,12,11,FEMALE,NOT TOO HAPPY,,FAIR,,
992,30,43,,14,12,MALE,,,GOOD,Neither happy nor unhappy,Neither satisfied nor dissatisfied
993,40,28,,16,12,MALE,,,EXCELLENT,Fairly happy,Very satisfied
994,36,66,70,15,12,FEMALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
995,,39,,12,10,FEMALE,PRETTY HAPPY,,FAIR,,
996,,36,,12,5,FEMALE,PRETTY HAPPY,PRETTY HAPPY,FAIR,,
997,,36,,10,,FEMALE,,,EXCELLENT,Completely happy,Completely satisfied
998,50,44,,12,12,MALE,PRETTY HAPPY,,,,
999,12,39,,12,12,MALE,PRETTY HAPPY,,EXCELLENT,,
1000,60,61,,13,,MALE,PRETTY HAPPY,,EXCELLENT,,
1001,25,64,45,15,12,FEMALE,,,FAIR,Completely happy,Completely satisfied
1002,,29,,10,12,FEMALE,PRETTY HAPPY,,,,
1003,,32,,12,,FEMALE,,,,,
1004,,32,,12,12,FEMALE,PRETTY HAPPY,,GOOD,,
1005,,44,36,15,20,FEMALE,,,EXCELLENT,,
1006,,47,,12,8,FEMALE,,,,Very happy,Very satisfied
1007,20,51,,8,6,FEMALE,PRETTY HAPPY,,,,
1008,50,24,40,14,12,MALE,,,GOOD,,
1009,,54,,15,8,FEMALE,,,,Fairly happy,Fairly satisfied
1010,,26,,8,,FEMALE,VERY HAPPY,VERY HAPPY,GOOD,,
1011,20,29,,12,8,FEMALE,,,GOOD,Fairly happy,Fairly satisfied
1012,70,51,,12,7,FEMALE,,,FAIR,Fairly happy,Fairly satisfied
1013,45,45,45,12,11,MALE,,,,,
1014,40,30,,12,,MALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
1015,70,51,,14,,MALE,PRETTY HAPPY,,,,
1016,48,27,,11,,MALE,NOT TOO HAPPY,,FAIR,,
1017,38,31,40,13,14,FEMALE,,,EXCELLENT,Fairly happy,Fairly satisfied
1018,,40,,8,,MALE,,,,,
1019,,60,,12,8,FEMALE,PRETTY HAPPY,PRETTY HAPPY,FAIR,,
1020,40,64,40,16,12,MALE,PRETTY HAPPY,PRETTY HAPPY,,,
1021,40,58,40,14,12,MALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
1022,40,25,40,16,8,MALE,,,,,
1023,,49,,14,8,FEMALE,PRETTY HAPPY,,FAIR,,
1024,60,64,,19,13,FEMALE,,,,Very happy,Fairly satisfied
1025,40,40,,12,14,FEMALE,PRETTY HAPPY,,,,
1026,,29,40,11,,MALE,VERY HAPPY,VERY HAPPY,GOOD,,
1027,40,35,,15,18,MALE,,,GOOD,,
1028,50,41,,20,,MALE,,,,Very happy,Very satisfied
1029,,,,16,16,MALE,,,EXCELLENT,Very happy,Fairly satisfied
1030,,47,,12,14,FEMALE,VERY HAPPY,,FAIR,,
1031,50,29,,12,12,FEMALE,NOT TOO HAPPY,,,,
1032,37,32,,10,0,MALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
1033,40,51,,16,,MALE,VERY HAPPY,VERY HAPPY,GOOD,,
1034,45,49,,13,12,MALE,PRETTY HAPPY,,,,
1035,35,39,50,14,12,MALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
1036,10,50,42,12,12,FEMALE,,,EXCELLENT,Very happy,Fairly satisfied
1037,,41,,13,8,MALE,,,,Very happy,Fairly satisfied
1038,,36,,10,8,FEMALE,PRETTY HAPPY,,GOOD,,
1039,32,36,,13,14,FEMALE,NOT TOO HAPPY,VERY HAPPY,EXCELLENT,,
1040,,42,,12,,FEMALE,,,FAIR,Fairly happy,Very dissatisfied
1041,,42,,13,12,FEMALE,,,,Very happy,Fairly satisfied
1042,,,,11,11,FEMALE,VERY HAPPY,,,,
1043,,20,,10,7,FEMALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
1044,30,36,45,14,12,FEMALE,,,FAIR,Very happy,Very satisfied
1045,,51,,16,12,MALE,PRETTY HAPPY,VERY HAPPY,,,
1046,24,51,,16,19,FEMALE,,,GOOD,Very happy,Very satisfied
1047,,34,,12,4,FEMALE,,,,,
1048,,,,12,,FEMALE,,,GOOD,Completely happy,Completely satisfied
1049,,64,,18,4,FEMALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
1050,20,41,,13,14,FEMALE,PRETTY HAPPY,,GOOD,,
1051,9,55,16,18,12,FEMALE,,,GOOD,Fairly happy,Fairly satisfied
1052,,44,,9,8,MALE,PRETTY HAPPY,,,,
1053,60,64,,18,14,FEMALE,PRETTY HAPPY,,GOOD,,
1054,44,32,,13,14,MALE,,,GOOD,Completely happy,Very satisfied
1055,80,61,,19,16,MALE,,,EXCELLENT,,
1056,45,75,40,19,,MALE,PRETTY HAPPY,VERY HAPPY,EXCELLENT,,
1057,,45,40,12,,MALE,,,EXCELLENT,,
1058,,59,,11,,FEMALE,VERY HAPPY,,FAIR,,
1059,16,21,,10,,FEMALE,,,EXCELLENT,Neither happy nor unhappy,Fairly dissatisfied
1060,,46,,16,11,FEMALE,,,GOOD,Very happy,Fairly satisfied
1061,,64,,18,,MALE,PRETTY HAPPY,,,,
1062,40,64,,17,12,FEMALE,NOT TOO HAPPY,,EXCELLENT,,
1063,40,30,,12,12,MALE,,,,Very happy,Very satisfied
1064,47,39,,15,7,MALE,PRETTY HAPPY,,EXCELLENT,,
1065,87,42,,11,11,MALE,VERY HAPPY,,EXCELLENT,,
1066,40,31,,13,14,FEMALE,PRETTY HAPPY,,,,
1067,43,31,,11,12,MALE,,,FAIR,Completely happy,Completely satisfied
1068,45,35,,12,,MALE,,,,Completely happy,Completely satisfied
1069,,23,,9,3,FEMALE,,,,,
1070,40,39,,11,10,MALE,VERY HAPPY,,EXCELLENT,,
1071,40,33,40,12,12,FEMALE,,,GOOD,Very happy,Very satisfied
1072,32,34,32,12,10,MALE,VERY HAPPY,VERY HAPPY,FAIR,,
1073,,60,50,13,0,FEMALE,VERY HAPPY,VERY HAPPY,,,
1074,40,47,41,13,8,MALE,VERY HAPPY,VERY HAPPY,GOOD,,
1075,,74,40,16,12,FEMALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
1076,,64,,20,8,MALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
1077,48,54,,13,10,MALE,,,GOOD,Very happy,Very satisfied
1078,,34,,12,8,FEMALE,PRETTY HAPPY,,GOOD,,
1079,,52,30,16,20,FEMALE,VERY HAPPY,VERY HAPPY,,,
1080,,65,55,14,12,FEMALE,,,POOR,Fairly happy,Fairly satisfied
1081,40,43,,12,,FEMALE,,,,Fairly happy,Fairly satisfied
1082,84,66,50,16,12,FEMALE,,,EXCELLENT,Very happy,Completely satisfied
1083,,,,14,12,FEMALE,VERY HAPPY,,EXCELLENT,,
1084,,43,,14,,MALE,PRETTY HAPPY,PRETTY HAPPY,,,
1085,,51,46,13,3,FEMALE,PRETTY HAPPY,PRETTY HAPPY,FAIR,,
1086,,32,,13,12,MALE,,,,Fairly happy,Fairly satisfied
1087,44,51,,13,12,FEMALE,,,EXCELLENT,Fairly happy,Fairly satisfied
1088,,30,,18,,MALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
1089,40,66,40,16,12,FEMALE,VERY HAPPY,VERY HAPPY,,,
1090,,49,,16,8,MALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
1091,,33,50,12,,FEMALE,,,GOOD,Very happy,Very satisfied
1092,60,64,22,18,18,MALE,,,,Very happy,Very satisfied
1093,40,21,40,8,12,FEMALE,,,POOR,,
1094,50,30,50,12,12,MALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
1095,,24,,12,4,FEMALE,PRETTY HAPPY,PRETTY HAPPY,,,
1096,,60,50,18,10,FEMALE,,,EXCELLENT,Very happy,Very satisfied
1097,,45,,14,8,MALE,,,,Fairly happy,Very satisfied
1098,,62,,16,16,MALE,PRETTY HAPPY,PRETTY HAPPY,FAIR,,
1099,,66,50,17,12,FEMALE,,,GOOD,Completely happy,Completely satisfied
1100,,46,40,13,12,FEMALE,,,,Fairly happy,Fairly satisfied
1101,32,42,,12,7,FEMALE,,,GOOD,Fairly happy,Fairly satisfied
1102,,31,,10,,FEMALE,PRETTY HAPPY,,POOR,,
1103,,,,14,,FEMALE,NOT TOO HAPPY,,,,
1104,36,42,,12,12,FEMALE,NOT TOO HAPPY,,GOOD,,
1105,65,69,,14,14,MALE,,,GOOD,Fairly happy,Fairly satisfied
1106,20,31,,12,,FEMALE,,,,,
1107,,64,,15,12,FEMALE,PRETTY HAPPY,,EXCELLENT,,
1108,,49,,11,12,MALE,,,POOR,,
1109,20,28,,10,9,MALE,,,,Neither happy nor unhappy,Neither satisfied nor dissatisfied
1110,50,44,,17,12,MALE,,,EXCELLENT,Fairly happy,Very dissatisfied
1111,80,39,,15,11,MALE,PRETTY HAPPY,,FAIR,,
1112,40,46,,12,16,FEMALE,PRETTY HAPPY,,,,
1113,40,69,,12,16,FEMALE,,,,Fairly happy,Very satisfied
1114,40,44,80,12,12,FEMALE,,,,Fairly happy,Fairly satisfied
1115,,51,,8,,FEMALE,NOT TOO HAPPY,,POOR,,
1116,,28,,12,,FEMALE,PRETTY HAPPY,,GOOD,,
1117,52,42,,12,12,MALE,,,FAIR,,
1118,45,30,,14,,MALE,,,,Neither happy nor unhappy,Neither satisfied nor dissatisfied
1119,40,43,56,14,12,FEMALE,,,EXCELLENT,Very happy,Very satisfied
1120,24,51,,12,,FEMALE,VERY HAPPY,,GOOD,,
1121,,25,50,13,12,FEMALE,NOT TOO HAPPY,PRETTY HAPPY,,,
1122,35,64,,11,,FEMALE,PRETTY HAPPY,,GOOD,,
1123,,24,,8,,MALE,,,POOR,Fairly happy,Neither satisfied nor dissatisfied
1124,,31,,12,12,MALE,,,,,
1125,20,60,,12,14,MALE,,,GOOD,Fairly happy,Fairly satisfied
1126,40,33,,12,,FEMALE,PRETTY HAPPY,,EXCELLENT,,
1127,40,66,40,16,14,FEMALE,PRETTY HAPPY,PRETTY HAPPY,FAIR,,
1128,38,24,40,12,8,FEMALE,,,GOOD,Very happy,Completely satisfied
1129,,17,,11,,MALE,VERY HAPPY,,GOOD,,
1130,40,36,40,13,12,FEMALE,PRETTY HAPPY,VERY HAPPY,,,
1131,55,69,40,18,14,MALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
1132,40,38,,16,,FEMALE,,,GOOD,Very happy,Fairly satisfied
1133,,30,,12,6,MALE,PRETTY HAPPY,PRETTY HAPPY,FAIR,,
1134,50,39,,14,,MALE,,,EXCELLENT,Fairly happy,Fairly satisfied
1135,,,,,,FEMALE,,,,,
1136,,27,,12,16,MALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
1137,,33,9,12,,MALE,PRETTY HAPPY,PRETTY HAPPY,,,
1138,,,45,12,,FEMALE,,,FAIR,Neither happy nor unhappy,Fairly satisfied
1139,,42,,8,,MALE,,,,,
1140,35,47,,12,12,FEMALE,,,EXCELLENT,Completely happy,Completely satisfied
1141,20,40,,12,10,MALE,PRETTY HAPPY,,GOOD,,
1142,,22,40,12,7,FEMALE,PRETTY HAPPY,NOT TOO HAPPY,GOOD,,
1143,55,69,,18,14,FEMALE,,,FAIR,,
1144,40,51,,12,12,MALE,PRETTY HAPPY,,,,
1145,70,42,,14,11,FEMALE,NOT TOO HAPPY,,GOOD,,
1146,50,52,,16,,MALE,,,,Very happy,Very satisfied
1147,40,51,,16,8,MALE,,,GOOD,Fairly happy,Neither satisfied nor dissatisfied
1148,37,48,,16,,MALE,VERY HAPPY,,GOOD,,
1149,,28,,10,,MALE,PRETTY HAPPY,,,,
1150,20,,,18,14,FEMALE,,,EXCELLENT,Fairly happy,Fairly satisfied
1151,60,38,,14,16,FEMALE,PRETTY HAPPY,,EXCELLENT,,
1152,,29,,8,8,FEMALE,,,GOOD,Very happy,Very satisfied
1153,,29,,12,12,MALE,,,FAIR,Fairly happy,Very satisfied
1154,,,,13,12,FEMALE,VERY HAPPY,VERY HAPPY,FAIR,,
1155,,47,,12,10,FEMALE,NOT TOO HAPPY,,FAIR,,
1156,,42,,12,,FEMALE,,,,Fairly happy,Very dissatisfied
1157,50,34,,12,12,MALE,,,GOOD,Fairly happy,Fairly satisfied
1158,40,36,32,12,10,MALE,PRETTY HAPPY,PRETTY HAPPY,FAIR,,
1159,,47,,12,7,MALE,,,GOOD,Very happy,Very satisfied
1160,20,39,,12,12,FEMALE,,,EXCELLENT,Very happy,Very satisfied
1161,,64,,19,18,MALE,PRETTY HAPPY,,GOOD,,
1162,89,51,21,9,,MALE,PRETTY HAPPY,VERY HAPPY,,,
1163,,47,,12,8,FEMALE,PRETTY HAPPY,,EXCELLENT,,
1164,,34,,10,,MALE,,,,Fairly happy,Very satisfied
1165,,42,,12,8,MALE,,,POOR,Fairly unhappy,Very satisfied
1166,40,51,,12,9,FEMALE,PRETTY HAPPY,,FAIR,,
1167,,33,,12,6,MALE,PRETTY HAPPY,,,,
1168,,22,,12,6,MALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
1169,,52,,16,12,FEMALE,,,EXCELLENT,Very happy,Very satisfied
1170,44,41,,18,10,MALE,,,,Fairly happy,Neither satisfied nor dissatisfied
1171,45,45,45,16,16,FEMALE,PRETTY HAPPY,VERY HAPPY,EXCELLENT,,
1172,,35,45,14,12,FEMALE,,,EXCELLENT,Very happy,Very satisfied
1173,40,74,,18,2,MALE,,,EXCELLENT,,
1174,34,69,55,20,14,FEMALE,,,GOOD,Neither happy nor unhappy,Fairly dissatisfied
1175,72,34,72,16,14,MALE,,,POOR,Fairly happy,Fairly satisfied
1176,55,49,45,15,16,MALE,VERY HAPPY,VERY HAPPY,GOOD,,
1177,,35,24,13,,MALE,,,,Fairly happy,Fairly satisfied
1178,32,66,,14,13,FEMALE,,,EXCELLENT,Fairly unhappy,Very satisfied
1179,37,40,,,9,FEMALE,,,,Very happy,Completely satisfied
1180,,40,,12,12,MALE,NOT TOO HAPPY,,,,
1181,,66,,15,14,FEMALE,PRETTY HAPPY,,GOOD,,
1182,70,62,20,16,8,MALE,,,,Very happy,Completely satisfied
1183,35,57,,20,10,FEMALE,NOT TOO HAPPY,,GOOD,,
1184,40,52,,19,,FEMALE,PRETTY HAPPY,,,,
1185,,35,30,8,13,FEMALE,PRETTY HAPPY,PRETTY HAPPY,FAIR,,
1186,45,35,45,12,12,FEMALE,,,GOOD,Very happy,Completely satisfied
1187,40,64,,16,20,FEMALE,VERY HAPPY,,EXCELLENT,,
1188,20,68,40,16,8,FEMALE,PRETTY HAPPY,PRETTY HAPPY,,,
1189,,66,40,16,8,MALE,,,GOOD,Very happy,Very satisfied
1190,52,40,,12,12,MALE,VERY HAPPY,,EXCELLENT,,
1191,75,39,10,14,,MALE,PRETTY HAPPY,PRETTY HAPPY,,,
1192,,51,,12,,FEMALE,,,POOR,Fairly happy,Very satisfied
1193,,30,,12,4,FEMALE,,,POOR,Fairly unhappy,Completely dissatisfied
1194,14,42,,17,12,FEMALE,,,,Completely happy,Very satisfied
1195,,52,,20,12,FEMALE,,,EXCELLENT,Fairly happy,Neither satisfied nor dissatisfied
1196,,42,,9,,FEMALE,NOT TOO HAPPY,,GOOD,,
1197,35,24,,9,6,FEMALE,VERY HAPPY,,GOOD,,
1198,40,43,,14,12,FEMALE,PRETTY HAPPY,,,,
1199,,36,,12,9,FEMALE,,,GOOD,Very happy,Fairly satisfied
1200,,51,,12,,FEMALE,,,,Completely happy,Completely satisfied
1201,,40,,12,,FEMALE,,,GOOD,Very happy,Very satisfied
1202,40,52,,12,3,FEMALE,VERY HAPPY,,GOOD,,
1203,,,,12,18,MALE,NOT TOO HAPPY,,,,
1204,40,47,,14,12,MALE,NOT TOO HAPPY,,GOOD,,
1205,,39,,12,9,FEMALE,,,GOOD,Very happy,Fairly satisfied
1206,,31,,8,,FEMALE,VERY HAPPY,,GOOD,,
1207,40,31,,8,,FEMALE,PRETTY HAPPY,,,,
1208,60,44,,12,12,MALE,,,,Fairly happy,Very satisfied
1209,,51,,13,10,FEMALE,,,GOOD,Very happy,Very satisfied
1210,40,36,29,14,,MALE,,,,Very happy,Very satisfied
1211,,47,,12,2,FEMALE,,,GOOD,Completely happy,Completely satisfied
1212,,,,12,,FEMALE,,,,Fairly unhappy,Fairly satisfied
1213,40,36,8,13,,MALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
1214,6,59,50,14,,FEMALE,,,GOOD,Very happy,Very satisfied
1215,42,60,,16,,MALE,,,GOOD,Fairly happy,Fairly satisfied
1216,,,,13,12,MALE,VERY HAPPY,,EXCELLENT,,
1217,32,66,57,15,14,FEMALE,VERY HAPPY,VERY HAPPY,,,
1218,30,35,,12,11,MALE,,,,Fairly happy,Very satisfied
1219,60,31,,13,,MALE,,,GOOD,Neither happy nor unhappy,Fairly satisfied
1220,70,22,40,14,10,MALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
1221,,66,15,19,14,MALE,,,,Fairly happy,Fairly satisfied
1222,40,47,,14,12,MALE,VERY HAPPY,,GOOD,,
1223,32,51,,13,12,FEMALE,PRETTY HAPPY,,,,
1224,40,68,,15,16,FEMALE,VERY HAPPY,,EXCELLENT,,
1225,20,36,,9,,FEMALE,,,GOOD,Very happy,Fairly satisfied
1226,40,42,,6,6,FEMALE,,,,Fairly unhappy,Neither satisfied nor dissatisfied
1227,40,65,40,12,9,MALE,,,,Very happy,Fairly satisfied
1228,40,43,40,12,11,FEMALE,,,EXCELLENT,Very happy,Very satisfied
1229,,32,,11,7,FEMALE,NOT TOO HAPPY,,POOR,,
1230,50,51,42,2,10,MALE,PRETTY HAPPY,PRETTY HAPPY,EXCELLENT,,
1231,,36,48,14,,FEMALE,PRETTY HAPPY,VERY HAPPY,,,
1232,14,47,70,16,10,MALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
1233,40,46,,14,16,FEMALE,,,GOOD,Very happy,Very satisfied
1234,,31,,12,12,MALE,,,GOOD,Fairly happy,Fairly satisfied
1235,55,74,55,20,14,FEMALE,,,,,
1236,45,59,,18,,MALE,PRETTY HAPPY,VERY HAPPY,,,
1237,56,53,,15,20,MALE,PRETTY HAPPY,,EXCELLENT,,
1238,,49,,16,18,MALE,,,,Completely happy,Completely satisfied
1239,,64,,17,12,FEMALE,,,POOR,Very happy,Very satisfied
1240,48,33,,12,6,MALE,PRETTY HAPPY,,FAIR,,
1241,44,61,44,16,,MALE,VERY HAPPY,VERY HAPPY,,,
1242,,40,,13,18,FEMALE,,,,Fairly happy,Fairly satisfied
1243,30,20,,10,9,FEMALE,,,GOOD,Fairly happy,Completely satisfied
1244,45,59,,16,13,MALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
1245,,64,45,16,5,FEMALE,,,EXCELLENT,,
1246,43,44,36,14,7,FEMALE,,,EXCELLENT,Fairly happy,Neither satisfied nor dissatisfied
1247,53,57,48,15,16,MALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
1248,,30,,10,8,MALE,PRETTY HAPPY,PRETTY HAPPY,,,
1249,35,49,,16,10,FEMALE,PRETTY HAPPY,,GOOD,,
1250,40,39,50,15,13,FEMALE,,,EXCELLENT,Very happy,Completely satisfied
1251,70,65,,13,14,FEMALE,,,,Fairly happy,Fairly satisfied
1252,40,47,,12,,FEMALE,,,FAIR,,Neither satisfied nor dissatisfied
1253,40,33,42,15,14,MALE,VERY HAPPY,VERY HAPPY,GOOD,,
1254,42,28,,13,12,MALE,,,EXCELLENT,Very happy,Completely satisfied
1255,60,47,,12,12,FEMALE,,,,Fairly happy,Fairly satisfied
1256,40,63,,14,11,FEMALE,,,EXCELLENT,,
1257,50,42,,18,16,MALE,PRETTY HAPPY,VERY HAPPY,FAIR,,
1258,,31,,11,,FEMALE,,,,,
1259,,41,40,15,12,FEMALE,,,FAIR,Very happy,Very satisfied
1260,,42,,11,,FEMALE,PRETTY HAPPY,,FAIR,,
1261,16,51,,16,13,MALE,,,FAIR,Fairly unhappy,Fairly dissatisfied
1262,,22,40,12,10,MALE,,,,,
1263,40,43,,16,6,MALE,,,GOOD,,
1264,65,64,,17,12,FEMALE,,,,,
1265,40,57,,14,,FEMALE,,,EXCELLENT,,
1266,,23,,12,,FEMALE,PRETTY HAPPY,,GOOD,,
1267,10,60,,14,8,MALE,PRETTY HAPPY,,,,
1268,,36,,5,3,FEMALE,PRETTY HAPPY,,FAIR,,
1269,,29,,11,,FEMALE,,,GOOD,Fairly happy,Fairly satisfied
1270,26,24,,14,12,FEMALE,,,,Very happy,Completely satisfied
1271,,34,,11,,FEMALE,PRETTY HAPPY,,GOOD,,
1272,,,,12,9,FEMALE,,,FAIR,Very happy,Very satisfied
1273,40,49,40,15,12,MALE,,,,Completely happy,Very satisfied
1274,45,52,45,14,8,FEMALE,,,EXCELLENT,Fairly happy,Fairly satisfied
1275,16,32,,12,12,FEMALE,,,,Very happy,Completely satisfied
1276,32,33,,10,,FEMALE,PRETTY HAPPY,,FAIR,,
1277,30,40,,9,11,MALE,PRETTY HAPPY,,,,
1278,45,51,,12,4,MALE,PRETTY HAPPY,,GOOD,,
1279,45,45,,14,,MALE,,,EXCELLENT,Fairly happy,Fairly satisfied
1280,40,33,,12,7,MALE,PRETTY HAPPY,,FAIR,,
1281,40,44,,16,16,FEMALE,VERY HAPPY,,EXCELLENT,,
1282,,32,40,15,,FEMALE,,,EXCELLENT,Very happy,Completely satisfied
1283,24,28,,17,12,MALE,PRETTY HAPPY,,GOOD,,
1284,,28,,12,,FEMALE,PRETTY HAPPY,,GOOD,,
1285,40,51,,17,12,MALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
1286,40,,,14,16,FEMALE,,,GOOD,,
1287,,46,,13,10,FEMALE,,,,Very happy,Completely satisfied
1288,32,25,,12,16,MALE,,,EXCELLENT,Very happy,Very satisfied
1289,40,66,,16,12,FEMALE,PRETTY HAPPY,,,,
1290,,39,40,11,10,MALE,,,,,
1291,40,34,,11,12,MALE,PRETTY HAPPY,,EXCELLENT,,
1292,30,47,40,12,10,FEMALE,,,,Very happy,Very satisfied
1293,60,50,,14,16,MALE,PRETTY HAPPY,,EXCELLENT,,
1294,50,30,,12,,MALE,PRETTY HAPPY,,,,
1295,40,25,,14,19,MALE,PRETTY HAPPY,,FAIR,,
1296,60,51,24,18,15,MALE,,,EXCELLENT,Fairly happy,Very satisfied
1297,30,28,,12,12,MALE,PRETTY HAPPY,,EXCELLENT,,
1298,40,46,,14,12,FEMALE,,,FAIR,Fairly happy,Very satisfied
1299,40,30,,11,6,MALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
1300,40,22,40,12,8,FEMALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
1301,40,41,,12,,MALE,PRETTY HAPPY,,,,
1302,40,36,,14,20,MALE,,,EXCELLENT,Fairly happy,Very satisfied
1303,55,51,50,17,12,FEMALE,,,GOOD,Completely happy,Completely satisfied
1304,,64,,16,,FEMALE,,,FAIR,Fairly unhappy,Fairly dissatisfied
1305,50,45,30,12,12,MALE,,,GOOD,,
1306,60,62,40,18,16,FEMALE,PRETTY HAPPY,VERY HAPPY,,,
1307,,51,20,12,14,MALE,PRETTY HAPPY,VERY HAPPY,EXCELLENT,,
1308,40,51,,12,10,FEMALE,,,EXCELLENT,Fairly happy,Very satisfied
1309,40,47,30,13,,MALE,,,,Fairly happy,Fairly satisfied
1310,,60,,13,12,FEMALE,NOT TOO HAPPY,,POOR,,
